onset	duration	nwb_table	reward_time	left_or_right
10.5368	2.5688000000000013	trials	25.7672	Left
87.0944	2.2904000000000053	trials	93.3256	Left
141.7336	4.483200000000011	trials	150.1576	Left
177.4512	12.363200000000006	trials	194.3432	Right
208.5896	11.312000000000012	trials	224.6792	Right
250.268	3.165600000000012	trials	257.1656	Left
315.8184	8.2928	trials	328.5128	Right
354.4552	8.493600000000015	trials	368.5256	Right
399.8824	4.725599999999986	trials	408.2312	Left
521.9096	2.9256000000000313	trials	528.756	Left
559.168	4.159999999999968	trials	567.668	Right
589.68	6.2864000000000715	trials	600.0008	Right
622.0648	2.599199999999996	trials	628.8264	Right
656.4784	3.725599999999986	trials	664.052	Left
838.3976	3.7735999999999876	trials	846.0168	Left
870.4904	2.0255999999999403	trials	877.7864	Right
904.9056	4.742399999999975	trials	913.7544	Left
942.3	2.4808000000000447	trials	949.3896	Right
974.9808	4.569599999999923	trials	983.9752	Right
1023.5912	3.603200000000129	trials	1033.46	Left
1067.5016	5.33439999999996	trials	1077.62	Left
1103.8808	2.702400000000125	trials	1111.361	Right
1139.7864	11.05359999999996	trials	1155.546	Left
1179.7248	3.1487999999999374	trials	1189.262	Right
1215.0792	6.796000000000049	trials	1226.407	Right
1263.3112	2.45679999999993	trials	1270.593	Right
1334.5648	6.445599999999786	trials	1347.009	Left
1625.416	6.604800000000068	trials	1637.902	Left
1658.3744	5.076000000000022	trials	1667.982	Right
1688.328	1.4991999999999734	trials	1694.324	Right
1742.7568	8.40079999999989	trials	1755.073	Left
1775.1992	4.242400000000089	trials	1783.77	Right
1947.588	4.803200000000061	trials	1958.234	Left
1980.5496	1.4903999999999087	trials	1986.625	Right
2007.052	4.559200000000146	trials	2016.218	Right
2038.904	1.9872000000000298	trials	2045.582	Right
2092.3776	4.6064000000001215	trials	2101.159	Left
2162.2064	5.509599999999864	trials	2172.609	Left
2190.2296	2.3296000000000276	trials	2197.39	Right
2226.12	4.54320000000007	trials	2236.25	Right
2342.6728	2.432800000000043	trials	2348.993	Left
2372.2712	2.2375999999999294	trials	2379.559	Right
2404.1304	14.611199999999826	trials	2424.026	Right
2447.6392	8.4703999999997	trials	2460.711	Right
2497.4224	3.867999999999938	trials	2505.46	Left
2520.284	16.891999999999825	trials	2541.146	Left
2562.8872	6.700800000000072	trials	2574.529	Right
2607.9736	4.804800000000341	trials	2618.228	Right
