onset	duration	nwb_table	reward_time	left_or_right
30.2696	6.032799999999998	trials	44.3016	Right
62.5032	3.318400000000004	trials	71.0024	Right
85.2264	5.716000000000008	trials	99.4184	Right
147.9152	1.568000000000012	trials	154.996	Left
198.772	0.3720000000000141	trials	204.8136	Left
240.2592	0.5600000000000023	trials	246.5928	Left
271.336	5.936800000000005	trials	283.636	Right
334.0728	5.997600000000034	trials	344.7432	Right
426.2152	0.2248000000000161	trials	432.1928	Left
467.224	0.2599999999999909	trials	473.2808	Left
500.3072	4.003999999999962	trials	510.0936	Right
562.812	7.780799999999999	trials	577.3448	Right
594.5976	2.6767999999999574	trials	603.124	Left
632.0896	1.1639999999999873	trials	641.3192	Left
673.6928	1.794399999999996	trials	682.1512	Right
703.292	0.5344000000000051	trials	709.8504	Left
744.3376	0.1208000000000311	trials	750.452	Left
776.0544	7.067999999999984	trials	788.9032	Right
806.6456	2.7560000000000855	trials	815.988	Right
835.8504	6.075999999999908	trials	847.3736	Right
865.252	0.5880000000000791	trials	870.9512	Left
912.8968	0.37760000000002947	trials	918.7208	Left
947.0688	2.41599999999994	trials	955.508	Right
975.5912	4.181600000000003	trials	988.7112	Right
1014.036	0.09200000000009823	trials	1019.585	Left
1054.0232	0.1799999999998363	trials	1061.492	Left
1091.4288	3.61200000000008	trials	1102.478	Right
1128.3616	5.467200000000048	trials	1139.47	Left
1176.808	2.942399999999907	trials	1186.164	Right
1227.2144	6.751199999999926	trials	1239.975	Right
1362.8176	0.10159999999996217	trials	1369.562	Left
1401.0296	0.9575999999999567	trials	1412.161	Right
1437.8968	0.12239999999997053	trials	1445.415	Left
1475.2856	0.06880000000001019	trials	1481.434	Left
1510.5648	7.603199999999788	trials	1525.185	Right
1563.204	3.867200000000139	trials	1573.313	Right
1596.6544	0.049600000000054933	trials	1603.316	Left
1663.2616	0.36400000000003274	trials	1669.415	Left
1709.628	1.1328000000000884	trials	1716.596	Right
1741.6216	0.30960000000004584	trials	1747.418	Left
1778.88	0.6287999999999556	trials	1785.946	Right
1809.6792	3.138400000000047	trials	1818.868	Right
1858.5776	0.09039999999981774	trials	1864.922	Left
1908.1616	0.3928000000000793	trials	1914.638	Left
1954.9808	2.909599999999955	trials	1967.578	Right
1988.1808	0.09759999999982938	trials	1993.998	Left
