onset	duration	nwb_table	reward_time	left_or_right
29.4496	26.768800000000002	trials	62.4776	Left
114.4712	5.832000000000008	trials	126.0168	Left
135.9048	61.80960000000002	trials	204.4808	Left
217.3584	5.854399999999998	trials	228.212	Right
260.2576	9.06559999999996	trials	273.524	Right
287.0584	4.190400000000011	trials	297.588	Right
311.3208	12.783199999999965	trials	329.2552	Left
343.6416	18.036	trials	368.6024	Left
382.6128	13.048000000000002	trials	401.3704	Right
419.5888	23.008800000000008	trials	447.22	Right
477.7904	7.326400000000035	trials	489.5112	Right
501.8152	14.055200000000013	trials	522.1768	Left
533.4504	21.37600000000009	trials	560.0392	Left
576.232	6.400800000000004	trials	591.0664	Right
605.9656	18.207200000000057	trials	630.1064	Left
646.4264	9.008800000000065	trials	661.6456	Right
680.648	8.238399999999956	trials	697.1784	Right
710.0696	15.77839999999992	trials	733.5304	Left
743.5016	16.247999999999934	trials	764.9928	Left
829.8208	10.903999999999996	trials	846.8872	Left
865.6304	1.3415999999999713	trials	872.8712	Right
917.5472	10.322400000000016	trials	933.108	Left
947.9192	18.515199999999936	trials	972.7112	Left
995.0632	8.315200000000004	trials	1009.524	Right
1024.0792	15.085600000000113	trials	1046.67	Left
1144.9248	14.157600000000002	trials	1165.786	Left
1180.3016	5.08159999999998	trials	1191.694	Right
1254.3704	4.783999999999878	trials	1264.116	Right
1306.0016	7.465599999999995	trials	1319.847	Left
1339.9984	2.436000000000149	trials	1347.854	Right
1377.6368	0.19200000000000728	trials	1384.948	Right
1396.4096	8.284800000000132	trials	1410.497	Left
1444.34	0.29359999999996944	trials	1449.921	Right
1513.5912	16.100799999999936	trials	1535.476	Left
1599.284	7.80639999999994	trials	1612.583	Left
1632.6952	15.599999999999909	trials	1655.054	Left
1672.8464	4.6784000000000106	trials	1684.724	Right
1700.0696	13.683199999999943	trials	1719.13	Right
