onset	duration	nwb_table	reward_time	left_or_right
24.4544	31.638399999999997	trials	62.1192	Right
86.7384	2.5400000000000063	trials	94.9128	Right
114.9328	2.049599999999998	trials	122.1512	Right
236.1344	0.8199999999999932	trials	243.3416	Left
304.5976	0.6351999999999975	trials	311.3352	Left
348.2144	1.588799999999992	trials	356.084	Right
407.4632	4.274400000000014	trials	417.9336	Right
481.264	0.3720000000000141	trials	487.1816	Left
523.0872	0.43039999999996326	trials	530.3176	Left
671.3632	0.6280000000000427	trials	680.2312	Left
716.668	2.164800000000014	trials	725.0568	Right
738.9528	12.856800000000021	trials	758.1832	Right
781.2968	0.28960000000006403	trials	788.1608	Left
843.148	0.17599999999993088	trials	849.9336	Left
883.7336	0.8423999999999978	trials	890.7144	Right
954.2872	0.411200000000008	trials	960.756	Left
1071.0264	0.8440000000000509	trials	1081.383	Right
1125.224	7.717600000000175	trials	1139.162	Right
1182.1456	0.1535999999998694	trials	1189.671	Left
1247.2808	315.63200000000006	trials	1569.729	Right
1710.164	5.264799999999923	trials	1721.972	Right
1850.7792	3.395200000000159	trials	1860.826	Right
1881.1024	0.8376000000000658	trials	1890.522	Left
1936.4	0.15199999999981628	trials	1944.257	Left
2006.328	4.208000000000084	trials	2016.5	Right
2037.8152	11.273599999999988	trials	2055.745	Right
2086.2072	0.5416000000000167	trials	2094.529	Left
2156.9648	0.0431999999996151	trials	2164.417	Left
2204.5768	5.465599999999995	trials	2216.18	Right
2242.8808	0.16560000000026776	trials	2251.662	Left
2290.8816	0.03440000000000509	trials	2299.098	Left
2323.952	5.94399999999996	trials	2336.346	Right
2405.8216	5.63359999999966	trials	2418.113	Right
2466.1512	0.34560000000010405	trials	2473.076	Left
2525.2632	0.23520000000007713	trials	2533.031	Left
2622.4584	6.226400000000012	trials	2634.894	Right
2674.3584	0.3240000000000691	trials	2681.767	Left
2726.164	0.6039999999998145	trials	2733.966	Right
2788.4688	2.577600000000075	trials	2798.324	Left
