onset	duration	nwb_table	reward_time	left_or_right
64.0608	24.078400000000002	trials	104.739	Left
311.0944	2.0751999999999953	trials	321.803	Right
348.9648	1.238399999999956	trials	358.465	Right
391.8832	18.047200000000032	trials	445.348	Left
491.3032	3.2823999999999955	trials	503.602	Left
638.7008	1.3799999999999955	trials	649.379	Right
675.6448	6.740799999999922	trials	691.999	Right
711.1904	1.5	trials	722.488	Right
744.028	5.818399999999997	trials	768.811	Left
785.0464	3.1304000000000087	trials	798.029	Right
860.1576	1.1055999999999813	trials	871.157	Left
904.4096	0.9048000000000229	trials	917.414	Left
1165.436	4.3728000000000975	trials	1183.957	Right
1229.3016	0.7367999999999029	trials	1238.737	Left
1305.9616	0.4335999999998421	trials	1319.149	Left
1343.4128	6.720000000000027	trials	1360.117	Right
1384.1984	3.3407999999999447	trials	1397.521	Right
1410.6936	3.6183999999998377	trials	1423.736	Right
1440.1768	9.104000000000042	trials	1461.382	Left
