onset	duration	nwb_table	reward_time	left_or_right
34.516	14.370000000000005	trials	58.0	Left
75.032	16.091000000000008	trials	98.0	Right
122.317	6.391000000000005	trials	134.0	Left
151.407	16.355999999999995	trials	178.0	Right
202.4	14.141999999999996	trials	221.0	Left
238.949	15.198999999999984	trials	259.0	Right
284.261	5.784999999999968	trials	296.0	Left
324.501	56.46600000000001	trials	394.0	Right
425.134	15.921999999999969	trials	445.0	Left
474.273	18.35699999999997	trials	498.0	Right
790.28	54.11200000000008	trials	850.0	Left
868.05	5.206999999999994	trials	880.0	Right
903.687	8.975999999999999	trials	917.0	Left
938.623	7.449999999999932	trials	953.0	Right
967.678	10.763000000000034	trials	983.0	Left
1014.55	11.432999999999993	trials	1032.0	Right
1068.625	18.490999999999985	trials	1094.0	Left
1137.175	17.980999999999995	trials	1161.0	Right
1247.363	3.7509999999999764	trials	1256.0	Left
1290.742	14.226000000000113	trials	1308.0	Right
1607.867	48.947000000000116	trials	1662.0	Left
1691.589	9.337999999999965	trials	1705.0	Right
2063.176	6.126000000000204	trials	2073.0	Left
2145.418	4.364000000000033	trials	2156.0	Right
2397.754	15.501000000000204	trials	2419.0	Left
2459.749	4.111000000000331	trials	2472.0	Right
2511.06	15.720000000000255	trials	2531.0	Left
2628.076	16.26800000000003	trials	2651.0	Right
