onset	duration	nwb_table	reward_time	left_or_right
69.66	267.31759999999997	trials	342.0808	Right
364.688	4.8104000000000156	trials	374.3624	Right
412.8088	3.779200000000003	trials	423.3096	Left
436.2992	16.09280000000001	trials	457.2552	Left
507.3568	3.1327999999999747	trials	515.0344	Right
536.6592	5.588799999999992	trials	548.212	Right
570.9816	4.592000000000098	trials	579.9048	Left
611.5384	2.2567999999999984	trials	617.7672	Left
838.62	4.2672000000000025	trials	848.2184	Left
863.7544	1.8863999999999805	trials	870.3368	Right
888.368	2.6567999999999756	trials	896.0392	Right
935.3944	2.8056000000000267	trials	942.4008	Left
953.176	5.1200000000000045	trials	962.548	Right
1000.1696	1.0888000000001057	trials	1006.324	Right
1033.7544	1.2015999999998712	trials	1039.604	Right
1070.3752	0.49040000000013606	trials	1076.314	Left
1192.2736	1.4144000000001142	trials	1198.631	Right
1261.5048	1.6096000000000004	trials	1274.228	Left
1293.6784	6.188000000000102	trials	1304.871	Right
1331.9448	1.7280000000000655	trials	1338.33	Right
1357.4424	16.70880000000011	trials	1379.598	Right
1412.0072	3.434400000000096	trials	1425.754	Left
1621.9192	1.1335999999998876	trials	1627.534	Right
1647.424	1.6752000000001317	trials	1654.209	Right
1688.448	2.4711999999999534	trials	1695.732	Right
1721.2144	4.354399999999941	trials	1731.982	Left
1758.9328	1.5991999999998825	trials	1764.903	Right
1795.0832	1.3999999999998636	trials	1803.175	Left
1827.964	1.0632000000000517	trials	1834.279	Right
1865.6168	4.399200000000064	trials	1874.881	Right
1914.6368	2.4711999999999534	trials	1922.855	Right
