onset	duration	nwb_table	reward_time	left_or_right
65.7304	12.19919999999999	trials	87.652	Left
98.944	14.014399999999995	trials	124.251	Left
133.4088	23.3904	trials	164.791	Left
174.8552	7.099999999999994	trials	191.837	Right
202.764	4.973599999999976	trials	215.972	Right
229.7448	12.176000000000016	trials	253.637	Left
260.8552	6.719200000000001	trials	275.81	Right
286.8232	5.476800000000026	trials	299.005	Right
320.0944	5.209599999999966	trials	334.534	Right
350.516	23.91999999999996	trials	383.821	Left
398.0432	14.404799999999966	trials	422.66	Left
433.2632	2.7992000000000417	trials	443.245	Right
500.3528	8.687999999999988	trials	519.528	Left
532.4632	2.5255999999999403	trials	544.354	Right
558.0128	5.951999999999998	trials	573.222	Right
585.316	15.177599999999984	trials	609.702	Left
619.4848	5.217600000000061	trials	632.858	Right
648.52	10.232799999999997	trials	668.574	Left
680.8	19.797600000000102	trials	712.49	Left
737.5632	7.3799999999999955	trials	751.825	Right
782.4464	5.460799999999949	trials	795.25	Right
865.6648	11.196000000000026	trials	885.094	Right
899.0464	11.743200000000002	trials	919.606	Left
947.6296	2.913599999999974	trials	957.905	Right
979.9456	11.846400000000017	trials	1003.404	Left
1032.5688	14.04079999999999	trials	1057.46	Left
1293.9288	2.574400000000196	trials	1306.113	Right
1519.4208	13.731199999999944	trials	1543.935	Left
1761.0032	0.40079999999989013	trials	1771.834	Left
1784.5104	12.836000000000013	trials	1804.868	Right
1834.116	7.95920000000001	trials	1850.062	Right
1870.7008	17.124000000000024	trials	1899.176	Left
1935.1776	50.7672	trials	1994.455	Right
2043.8376	7.396799999999757	trials	2061.245	Right
2079.9128	4.265599999999722	trials	2094.12	Left
2108.6368	28.46239999999989	trials	2149.351	Left
2158.2392	5.5151999999998225	trials	2172.513	Right
2190.8192	21.071200000000317	trials	2224.684	Left
2246.9704	32.85680000000002	trials	2291.165	Left
2330.9664	15.301600000000235	trials	2353.959	Right
